date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2025-08-19,0,野狐谷溜池,杵築,八坂,2.25,7260.5,Sentinel-1,DESCENDING
2025-08-19,1,申川溜池,杵築,八坂,2.06,4627.2,Sentinel-1,DESCENDING
2025-08-19,2,白水池,杵築,馬場尾,4.84,27374.4,Sentinel-1,DESCENDING
2025-08-19,3,床並溜池,山香,下,1.65,4451.8,Sentinel-1,DESCENDING
2025-08-19,12,大河内溜池南方の池,大田,白木原,0.92,1634.5,Sentinel-1,DESCENDING
2025-08-19,13,大河内溜池,大田,白木原,2.64,11472.3,Sentinel-1,DESCENDING
2025-08-19,14,黄午渕溜池,大田,永松,0.89,2682.7,Sentinel-1,DESCENDING
2025-08-19,15,俣水1012付近の池,大田,俣水,1.61,4799.6,Sentinel-1,DESCENDING
2025-08-19,16,東下司溜池,杵築,南杵築,0.65,414.0,Sentinel-1,DESCENDING
2025-08-19,17,西下司溜池,杵築,南杵築,1.3,3977.8,Sentinel-1,DESCENDING
2025-08-19,18,日指ダム,山香,日指,39.42,166720.6,Sentinel-1,DESCENDING
2025-08-19,19,日指ダム,山香,日指,12.57,31344.2,Sentinel-1,DESCENDING
2025-08-19,20,楠溜池,山香,吉野渡,7.11,41684.3,Sentinel-1,DESCENDING
2025-08-19,21,石山ダム,杵築,溝井,10.73,34967.1,Sentinel-1,DESCENDING
2025-08-19,22,尾払溜池,杵築,守江,7.07,43930.9,Sentinel-1,DESCENDING
2025-08-19,23,鍋倉ダム,杵築,守江,9.42,50282.3,Sentinel-1,DESCENDING
2025-08-19,24,糠味噌溜池,杵築,日野,1.69,0.0,Sentinel-1,DESCENDING
2025-08-19,25,弁天池,杵築,溝井,4.32,22061.8,Sentinel-1,DESCENDING
2025-08-19,26,山迫溜池,杵築,鴨川,2.08,6524.0,Sentinel-1,DESCENDING
2025-08-19,27,スネコスリ溜池,杵築,猪尾,5.54,28534.8,Sentinel-1,DESCENDING
2025-08-19,28,中ノ池溜池,杵築,溝井,0.91,1088.9,Sentinel-1,DESCENDING
2025-08-19,29,立尻溜池,杵築,溝井,1.61,6796.8,Sentinel-1,DESCENDING
2025-08-19,30,本庄新池,杵築,本庄,3.53,15392.8,Sentinel-1,DESCENDING
2025-08-19,31,双子溜池,杵築,本庄,2.7,14484.3,Sentinel-1,DESCENDING
2025-08-19,32,大台溜池,杵築,本庄,5.22,24319.5,Sentinel-1,DESCENDING
2025-08-19,33,夫婦池南部,杵築,熊野,1.43,2849.0,Sentinel-1,DESCENDING
2025-08-19,34,夫婦池北部,杵築,熊野,2.44,11021.6,Sentinel-1,DESCENDING
2025-08-19,35,新宮溜池,杵築,日野,3.81,15967.3,Sentinel-1,DESCENDING
2025-08-19,43,轟溜池,杵築,船部,2.04,5589.1,Sentinel-1,DESCENDING
2025-08-19,48,申川溜池北方の池,杵築,八坂,0.49,1539.7,Sentinel-1,DESCENDING
